Cosine Similarity: 0.7886, Euclidean Distance: 4.9492
Cosine Similarity: 0.8032, Euclidean Distance: 4.7344
Cosine Similarity: 0.7163, Euclidean Distance: 5.4141
Cosine Similarity: 0.8423, Euclidean Distance: 3.9395
Cosine Similarity: 0.7651, Euclidean Distance: 5.6328
Cosine Similarity: 0.7583, Euclidean Distance: 5.0586
Cosine Similarity: 0.5625, Euclidean Distance: 7.0742
Cosine Similarity: 0.7070, Euclidean Distance: 5.5508
Cosine Similarity: 0.6606, Euclidean Distance: 5.7109
Cosine Similarity: 0.7036, Euclidean Distance: 5.4219
Cosine Similarity: 0.7573, Euclidean Distance: 4.8242
Cosine Similarity: 0.6885, Euclidean Distance: 5.5820
Cosine Similarity: 0.6030, Euclidean Distance: 6.9375
Cosine Similarity: 0.5645, Euclidean Distance: 7.9180
Cosine Similarity: 0.5835, Euclidean Distance: 8.0781
Cosine Similarity: 0.6792, Euclidean Distance: 6.1328
Cosine Similarity: 0.7905, Euclidean Distance: 4.5859
Cosine Similarity: 0.7676, Euclidean Distance: 4.7305
Cosine Similarity: 0.7749, Euclidean Distance: 4.6250
Cosine Similarity: 0.6914, Euclidean Distance: 6.0859
Cosine Similarity: 0.4783, Euclidean Distance: 9.3359
Cosine Similarity: 0.4666, Euclidean Distance: 10.5625
Cosine Similarity: 0.7979, Euclidean Distance: 4.4062
Cosine Similarity: 0.8237, Euclidean Distance: 4.1484
Cosine Similarity: 0.8081, Euclidean Distance: 4.4492
Cosine Similarity: 0.8418, Euclidean Distance: 3.9473
Cosine Similarity: 0.8579, Euclidean Distance: 3.7656
Cosine Similarity: 0.6978, Euclidean Distance: 5.8086
Cosine Similarity: 0.6895, Euclidean Distance: 5.3516
Cosine Similarity: 0.8057, Euclidean Distance: 4.3281
Cosine Similarity: 0.7812, Euclidean Distance: 4.7109
Cosine Similarity: 0.7588, Euclidean Distance: 4.8281
Cosine Similarity: 0.8726, Euclidean Distance: 3.8867
Cosine Similarity: 0.8740, Euclidean Distance: 3.5605
Cosine Similarity: 0.5659, Euclidean Distance: 10.6719
Cosine Similarity: 0.6895, Euclidean Distance: 7.6992
Cosine Similarity: 0.6895, Euclidean Distance: 7.6953
Cosine Similarity: 0.7036, Euclidean Distance: 5.6016
Cosine Similarity: 0.7495, Euclidean Distance: 5.6367
Cosine Similarity: 0.8223, Euclidean Distance: 4.1602
Cosine Similarity: 0.7349, Euclidean Distance: 4.9609
Cosine Similarity: 0.7568, Euclidean Distance: 5.8438
Cosine Similarity: 0.7573, Euclidean Distance: 5.1406
Cosine Similarity: 0.8774, Euclidean Distance: 3.5098
Cosine Similarity: 0.8452, Euclidean Distance: 3.9570
Cosine Similarity: 0.8345, Euclidean Distance: 4.0469
Cosine Similarity: 0.5679, Euclidean Distance: 8.1172
Cosine Similarity: 0.8945, Euclidean Distance: 3.2891
Cosine Similarity: 0.7158, Euclidean Distance: 5.2578
Cosine Similarity: 0.7222, Euclidean Distance: 5.0703
Cosine Similarity: 0.6885, Euclidean Distance: 6.5703
Cosine Similarity: 0.7598, Euclidean Distance: 4.8086
Cosine Similarity: 0.7578, Euclidean Distance: 4.9609
Cosine Similarity: 0.5386, Euclidean Distance: 9.0938
Cosine Similarity: 0.7393, Euclidean Distance: 4.9922
Cosine Similarity: 0.6177, Euclidean Distance: 8.8125
Cosine Similarity: 0.8872, Euclidean Distance: 3.4180
Cosine Similarity: 0.7134, Euclidean Distance: 5.2266
Cosine Similarity: 0.6777, Euclidean Distance: 5.4922
Cosine Similarity: 0.7490, Euclidean Distance: 4.9414
Cosine Similarity: 0.8408, Euclidean Distance: 3.9961
Cosine Similarity: 0.6904, Euclidean Distance: 7.0586
Cosine Similarity: 0.7671, Euclidean Distance: 4.7773
Cosine Similarity: 0.8208, Euclidean Distance: 4.2148
Cosine Similarity: 0.7588, Euclidean Distance: 4.8281
Cosine Similarity: 0.7866, Euclidean Distance: 4.5234
Cosine Similarity: 0.8931, Euclidean Distance: 3.2852
Cosine Similarity: 0.7896, Euclidean Distance: 4.5469
Cosine Similarity: 0.4292, Euclidean Distance: 13.0000
Cosine Similarity: 0.8188, Euclidean Distance: 4.1914
Cosine Similarity: 0.7046, Euclidean Distance: 5.8125
Cosine Similarity: 0.7505, Euclidean Distance: 5.4336
Cosine Similarity: 0.7021, Euclidean Distance: 5.9180
Cosine Similarity: 0.7739, Euclidean Distance: 4.7344
Cosine Similarity: 0.6846, Euclidean Distance: 5.7266
Cosine Similarity: 0.7856, Euclidean Distance: 4.7031
Cosine Similarity: 0.8711, Euclidean Distance: 3.5996
Cosine Similarity: 0.8340, Euclidean Distance: 4.0273
Cosine Similarity: 0.7632, Euclidean Distance: 5.2812
Cosine Similarity: 0.8672, Euclidean Distance: 3.6816
Cosine Similarity: 0.8926, Euclidean Distance: 3.3008
Cosine Similarity: 0.8999, Euclidean Distance: 3.1914
Cosine Similarity: 0.8828, Euclidean Distance: 3.6094
Cosine Similarity: 0.7485, Euclidean Distance: 5.1406
Cosine Similarity: 0.8569, Euclidean Distance: 3.8438
Cosine Similarity: 0.7856, Euclidean Distance: 4.8711
Cosine Similarity: 0.7959, Euclidean Distance: 4.4805
Cosine Similarity: 0.6831, Euclidean Distance: 6.2500
Cosine Similarity: 0.7500, Euclidean Distance: 5.1211
Cosine Similarity: 0.6191, Euclidean Distance: 11.9141
Cosine Similarity: 0.8003, Euclidean Distance: 4.4961
Cosine Similarity: 0.8125, Euclidean Distance: 4.3438
Cosine Similarity: 0.8076, Euclidean Distance: 4.6172
Cosine Similarity: 0.5142, Euclidean Distance: 9.2422
Cosine Similarity: 0.6011, Euclidean Distance: 8.4453
Cosine Similarity: 0.6333, Euclidean Distance: 8.3359
Cosine Similarity: 0.6733, Euclidean Distance: 7.8086
Cosine Similarity: 0.5850, Euclidean Distance: 8.5469
Cosine Similarity: 0.6338, Euclidean Distance: 8.1562
Cosine Similarity: 0.6089, Euclidean Distance: 8.3750
